Instruction;Timing;Opcode;Size
RET PE;12/6;E8;1
JP (HL);5;E9;1
JP PE,nn;11;EA;3
EX DE,HL;5;EB;1
CALL PE,nn;18/11;EC;3
IN B,(C);14;ED 40;2
OUT (C),B;14;ED 41;2
SBC HL,BC;17;ED 42;2
LD (nn),BC;22;ED 43;4
NEG;10;ED 44;2
RETN;16;ED 45;2
IM 0;10;ED 46;2
LD I,A;11;ED 47;2
IN C,(C);14;ED 48;2
OUT (C),C;14;ED 49;2
ADC HL,BC;17;ED 4A;2
LD BC,(nn);22;ED 4B;4
RETI;16;ED 4D;2
LD R,A;11;ED 4F;2
IN D,(C);14;ED 50;2
OUT (C),D;14;ED 51;2
SBC HL,DE;17;ED 52;2
LD (nn),DE;22;ED 53;4
IM 1;10;ED 56;2
LD A,I;11;ED 57;2
IN E,(C);14;ED 58;2
OUT (C),E;14;ED 59;2
ADC HL,DE;17;ED 5A;2
LD DE,(nn);22;ED 5B;4
IM 2;10;ED 5E;2
LD A,R;11;ED 5F;2
IN H,(C);14;ED 60;2
OUT (C),H;14;ED 61;2
SBC HL,HL;17;ED 62;2
RRD;20;ED 67;2
IN L,(C);14;ED 68;2
OUT (C),L;14;ED 69;2
ADC HL,HL;17;ED 6A;2
RLD;20;ED 6F;2
IN F,(C);14;ED 70;3
SBC HL,SP;17;ED 72;2
LD (nn),SP;22;ED 73;4
IN A,(C);14;ED 78;2
OUT (C),A;14;ED 79;2
ADC HL,SP;17;ED 7A;2
LD SP,(nn);22;ED 7B;4
LDI;18;ED A0;2
CPI;18;ED A1;2
INI;18;ED A2;2
OUTI;18;ED A3;2
LDD;18;ED A8;2
CPD;18;ED A9;2
IND;18;ED AA;2
OUTD;18;ED AB;2
LDIR;23/18;ED B0;2
CPIR;23/18;ED B1;2
INIR;23/18;ED B2;2
OTIR;23/18;ED B3;2
LDDR;23/18;ED B8;2
CPDR;23/18;ED B9;2
INDR;23/18;ED BA;2
OTDR;23/18;ED BB;2
MULUB A,r;;ED C1;2
MULUW HL,BC;;ED C3;2
MULUW HL,SP;;ED F3;2
XOR n;8;EE;2
RST 28H;12;EF;1
RET P;12/6;F0;1
POP AF;11;F1;1
JP P,nn;11;F2;3
DI;5;F3;1
CALL P,nn;18/11;F4;3
PUSH AF;12;F5;1
OR n;8;F6;2
RST 30H;12;F7;1
RET M;12/6;F8;1
LD SP,HL;7;F9;1
JP M,nn;11;FA;3
EI;5;FB;1
CALL M,nn;18/11;FC;3
INC IYq;10;FD 04;2
DEC IYq;10;FD 05;2
ADD IY,BC;17;FD 09;2
ADD IY,DE;17;FD 19;2
LD IY,nn;16;FD 21;4
LD (nn),IY;22;FD 22;4
INC IY;12;FD 23;2
LD IYh,n;13;FD 26;2
ADD IY,IY;17;FD 29;2
LD IY,(nn);22;FD 2A;4
DEC IY;12;FD 2B;2
LD IYl,n;13;FD 2E;2
INC (IY+o);25;FD 34;3
DEC (IY+o);25;FD 35;3
LD (IY+o),n;21;FD 36;4
ADD IY,SP;17;FD 39;2
LD B,IYq;10;FD 40;2
LD B,(IY+o);21;FD 46;3
LD C,IYq;10;FD 48;2
LD C,(IY+o);21;FD 4E;3
LD D,IYq;10;FD 50;2
LD D,(IY+o);21;FD 56;3
LD E,IYq;10;FD 58;2
LD E,(IY+o);21;FD 5E;3
LD IYh,q;10;FD 60;2
LD H,(IY+o);21;FD 66;3
LD IYl,q;10;FD 68;2
LD L,(IY+o);21;FD 6E;3
LD (IY+o),r;21;FD 70;3
LD A,IYq;10;FD 78;2
LD A,(IY+o);21;FD 7E;3
ADD A,IYq;10;FD 80;2
ADD A,(IY+o);21;FD 86;3
ADC A,IYq;10;FD 88;2
ADC A,(IY+o);21;FD 8E;3
SUB IYq;10;FD 90;2
SUB (IY+o);21;FD 96;3
SBC A,IYq;10;FD 98;2
SBC A,(IY+o);21;FD 9E;3
AND IYq;10;FD A0;2
AND (IY+o);21;FD A6;3
XOR IYq;10;FD A8;2
XOR (IY+o);21;FD AE;3
OR IYq;10;FD B0;2
OR (IY+o);21;FD B6;3
CP IYq;10;FD B8;2
CP (IY+o);21;FD BE;3
RLC (IY+o);25;FD CB 06;4
RRC (IY+o);25;FD CB 0E;4
RL (IY+o);25;FD CB 16;4
RR (IY+o);25;FD CB 1E;4
SLA (IY+o);25;FD CB 26;4
SRA (IY+o);25;FD CB 2E;4
SRL (IY+o);25;FD CB 3E;4
BIT b,(IY+o);22;FD CB 46;4
RES b,(IY+o);25;FD CB 86;4
SET b,(IY+o);25;FD CB C6;4
POP IY;16;FD E1;2
EX (SP),IY;25;FD E3;2
PUSH IY;17;FD E5;2
JP (IY);10;FD E9;2
LD SP,IY;12;FD F9;2
CP n;8;FE;2
RST 38H;12;FF;1
